batch_id,ticker,fetch_status,staged_file_exists,staged_row_count,staged_min_date,staged_max_date,latest_date_age_days,has_required_ohlcv_columns,close_non_null_count,volume_non_null_count,duplicate_date_count,missing_date_or_parse_issue_count,non_positive_close_count,suspicious_large_gap_count,suspicious_return_outlier_count,staged_local_price_scan_success_from_r4,staged_full_history_ready_from_r4,staged_insufficient_history_from_r4,official_price_overlap_found,existing_official_latest_date,staged_newer_than_official,recommended_integration_action,integration_block_reason,quality_grade,classification
V18_23C_BATCH2,CMG,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,LINE,SUCCESS,TRUE,457,2024-07-25,2026-05-20,1,TRUE,457,457,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,,UNKNOWN,DRY_RUN_MERGE_PRICE_ONLY_PARTIAL_HISTORY,Not factor-ready.,B,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY
V18_23C_BATCH2,LPLA,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,LSCC,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,LYB,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,LYFT,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,MA,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,MCK,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,MELI,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,MNTN,SUCCESS,TRUE,250,2025-05-22,2026-05-20,1,TRUE,250,250,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,,UNKNOWN,DRY_RUN_MERGE_PRICE_ONLY_PARTIAL_HISTORY,Not factor-ready.,B,MERGE_CANDIDATE_PRICE_ONLY_PARTIAL_HISTORY
V18_23C_BATCH2,MOH,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,MPLX,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,MPW,EMPTY,FALSE,0,,,,FALSE,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,UNKNOWN,,UNKNOWN,HOLD_REVIEW,Empty provider response.,F,HOLD_EMPTY_FETCH
V18_23C_BATCH2,MTSI,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,MTZ,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,NAMS,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,NFLX,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,NI,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,NRG,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,NTRA,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,NU,SUCCESS,TRUE,1115,2021-12-09,2026-05-20,1,TRUE,1115,1115,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,NUVB,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
V18_23C_BATCH2,NVAX,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,1,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,HOLD_REVIEW,Suspicious staged data quality issue.,C,HOLD_SUSPICIOUS_PRICE_DATA
V18_23C_BATCH2,OC,SUCCESS,TRUE,1262,2021-05-12,2026-05-20,1,TRUE,1262,1262,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,,UNKNOWN,DRY_RUN_MERGE_FULL_HISTORY,,A,MERGE_CANDIDATE_FULL_HISTORY
