ticker,fetch_attempted,fetch_success,fetch_empty,fetch_fail,raw_row_count,normalized_row_count,min_date,max_date,latest_date,close_column_available,close_non_null_count,duplicate_date_count_before_cleaning,duplicate_date_count_after_cleaning,negative_or_zero_close_count,suspicious_gap_count,full_history_ready,price_only_partial,quality_status,staged_raw_path,staged_normalized_path,error_message
SITM,TRUE,TRUE,FALSE,FALSE,1633,1633,2019-11-20,2026-05-21,2026-05-21,TRUE,1633,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SITM.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SITM.csv,
SMTC,TRUE,TRUE,FALSE,FALSE,11640,11640,1980-03-17,2026-05-21,2026-05-21,TRUE,11640,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SMTC.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SMTC.csv,
SNPS,TRUE,TRUE,FALSE,FALSE,8620,8620,1992-02-26,2026-05-21,2026-05-21,TRUE,8620,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SNPS.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SNPS.csv,
SOLS,TRUE,TRUE,FALSE,FALSE,148,148,2025-10-20,2026-05-21,2026-05-21,TRUE,148,0,0,0,0,FALSE,TRUE,FETCH_SUCCESS_PARTIAL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SOLS.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SOLS.csv,
SPOT,TRUE,TRUE,FALSE,FALSE,2046,2046,2018-04-03,2026-05-21,2026-05-21,TRUE,2046,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\SPOT.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\SPOT.csv,
STG,TRUE,TRUE,FALSE,FALSE,2052,2052,2018-03-23,2026-05-21,2026-05-21,TRUE,2052,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\STG.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\STG.csv,
STM,TRUE,TRUE,FALSE,FALSE,7915,7915,1994-12-08,2026-05-21,2026-05-21,TRUE,7915,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\STM.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\STM.csv,
STUB,TRUE,TRUE,FALSE,FALSE,171,171,2025-09-17,2026-05-21,2026-05-21,TRUE,171,0,0,0,0,FALSE,TRUE,FETCH_SUCCESS_PARTIAL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\STUB.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\STUB.csv,
TEAM,TRUE,TRUE,FALSE,FALSE,2627,2627,2015-12-09,2026-05-21,2026-05-21,TRUE,2627,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TEAM.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TEAM.csv,
TEVA,TRUE,TRUE,FALSE,FALSE,11156,11156,1982-02-16,2026-05-21,2026-05-21,TRUE,11156,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TEVA.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TEVA.csv,
TICKERS,FALSE,FALSE,FALSE,TRUE,0,0,,,,FALSE,0,0,0,0,0,FALSE,FALSE,QUALITY_REVIEW_NEEDED,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TICKERS.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TICKERS.csv,non-ticker artifact from R16 candidate plan; not fetched
TIGR,TRUE,TRUE,FALSE,FALSE,1804,1804,2019-03-20,2026-05-21,2026-05-21,TRUE,1804,0,0,0,0,TRUE,FALSE,FETCH_SUCCESS_FULL_HISTORY,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\raw\TIGR.csv,D:\us-tech-quant\data\v18\staged_backfill\V18_25A_BATCH3\normalized\TIGR.csv,
