priority_rank,ticker,price_row_count,min_price_date,max_price_date,latest_close,latest_volume,enough_history_for_technical_refresh,technical_plan_status,reason,source_batch
43,RVMD,1576,2020-02-13,2026-05-21,153.50999450683594,601527,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
44,SATS,4626,2008-01-02,2026-05-21,135.77000427246094,2773955,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
45,SCCO,7644,1996-01-05,2026-05-21,176.0,282174,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
46,SCHW,9740,1987-09-22,2026-05-21,89.91500091552734,2110320,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
47,SE,2157,2017-10-20,2026-05-21,87.62000274658203,1312350,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
48,SEI,2269,2017-05-12,2026-05-21,72.73500061035156,463695,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
49,SFIX,2137,2017-11-17,2026-05-21,3.2249999046325684,452650,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
50,SFM,3221,2013-08-01,2026-05-21,84.61499786376953,728876,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
51,SHOP,2768,2015-05-20,2026-05-21,104.36000061035156,2636764,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
52,SHW,11640,1980-03-17,2026-05-21,303.8699951171875,595020,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
53,SITM,1633,2019-11-20,2026-05-21,702.885009765625,340187,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
54,SMTC,11640,1980-03-17,2026-05-21,148.1699981689453,1354981,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
55,SNPS,8620,1992-02-26,2026-05-21,501.55499267578125,558955,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
56,SPOT,2046,2018-04-03,2026-05-21,503.5199890136719,4409968,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
57,STG,2052,2018-03-23,2026-05-21,3.1600000858306885,233,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
58,STM,7915,1994-12-08,2026-05-21,64.6449966430664,3766152,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
59,TEAM,2627,2015-12-09,2026-05-21,83.10070037841797,1798704,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
60,TEVA,11156,1982-02-16,2026-05-21,33.93000030517578,1612768,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
61,TIGR,1804,2019-03-20,2026-05-21,5.764999866485596,2311787,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
62,TSEM,7945,1994-10-26,2026-05-21,272.67498779296875,719640,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
63,TTD,2430,2016-09-21,2026-05-21,20.950000762939453,3948021,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
64,TTMI,6452,2000-09-25,2026-05-21,175.26499938964844,803892,TRUE,READY_FOR_TECHNICAL_TIMING_REFRESH,Price cache has sufficient local history and required OHLCV schema.,R19_R20
