ticker,source_tag,initial_tier,note
MCK,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
MELI,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
META,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
MKSI,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
MNTN,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
MOH,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
MPW,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
MPLX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
MSFT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
MTSI,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
MTZ,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
MU,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
NAMS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
NET,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
NFLX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
NI,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
NOW,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
NRG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
NTRA,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
NU,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
NUVB,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
NVAX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
NVDA,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
OC,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
OKTA,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
OLMA,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
OLPX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ON,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
OPCH,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ORCL,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PATH,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PCOR,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PCT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PDD,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PFGC,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PGNY,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PI,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PINS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PLUG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PONY,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PSIX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PTGX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PTON,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PUMP,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
PYPL,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
QCOM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
QQQ,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
QS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
QSR,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
RBLX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
RDDT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
RERE,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
RH,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
RIOT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
RKT,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
RNG,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
ROKU,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
RSP,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
RTX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
RVMD,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SATS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SCHW,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SCCO,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SE,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SEI,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SFIX,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SFM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SHOP,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SHW,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SITM,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SMH,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SMTC,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SNDK,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SNOW,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
SNPS,MANUAL_EXPANSION_20260519,RESEARCH,user_manual_large_universe_addition
