ticker,yf_ticker,price_date,close,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_percent_b,bb_bandwidth,bb_squeeze_flag,bb_status,rsi_14,rsi_status,kdj_k,kdj_d,kdj_j,kdj_status,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_timing_score,technical_signal,technical_warning_label,option_data_status,put_call_ratio,iv_rank_proxy,gamma_squeeze_status,gamma_squeeze_risk_label,official_decision_impact,vix_date,vix_close,vix_regime
ICHR,ICHR,2026-05-29,71.52,70.5877,78.1412,63.0343,0.5617,0.214,True,BB_MID,55.7309,RSI_NEUTRAL,60.0817,54.9249,70.3955,KDJ_NEUTRAL,0.9874,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
INTC,INTC,2026-05-29,114.68,115.1635,132.0854,98.2416,0.4857,0.2939,False,BB_MID,59.1883,RSI_NEUTRAL,66.5694,65.9841,67.74,KDJ_NEUTRAL,0.8062,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
IREN,IREN,2026-05-29,63.54,56.407,67.7199,45.0941,0.8153,0.4011,False,BB_UPPER_HALF,60.4264,RSI_STRONG,78.945,70.8936,95.0478,KDJ_NEUTRAL,0.9049,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
JBL,JBL,2026-05-29,364.56,354.0305,380.5892,327.4718,0.6982,0.15,False,BB_UPPER_HALF,58.9604,RSI_NEUTRAL,73.9604,70.5739,80.7336,KDJ_NEUTRAL,0.8478,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
LRCX,LRCX,2026-05-29,318.18,293.112,330.5446,255.6794,0.8348,0.2554,False,BB_UPPER_HALF,66.0667,RSI_STRONG,79.89,78.3778,82.9143,KDJ_NEUTRAL,0.9965,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
MKSI,MKSI,2026-05-29,324.26,308.8435,338.5614,279.1256,0.7594,0.1924,False,BB_UPPER_HALF,63.0701,RSI_STRONG,77.5697,76.4876,79.7339,KDJ_NEUTRAL,0.7198,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
NET,NET,2026-05-29,241.82,215.1015,255.3261,174.8769,0.8321,0.374,False,BB_UPPER_HALF,63.4774,RSI_STRONG,86.3515,75.2171,108.6203,KDJ_NEUTRAL,0.749,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
NVT,NVT,2026-05-29,166.99,166.908,176.5484,157.2676,0.5043,0.1155,False,BB_MID,59.8075,RSI_NEUTRAL,67.8857,62.1085,79.4402,KDJ_NEUTRAL,0.7626,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
NXPI,NXPI,2026-05-29,321.35,303.8335,332.6998,274.9672,0.8034,0.19,False,BB_UPPER_HALF,65.5239,RSI_STRONG,75.9524,75.4979,76.8613,KDJ_NEUTRAL,0.9508,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
POWL,POWL,2026-05-29,284.42,290.3395,325.8042,254.8748,0.4165,0.2443,False,BB_MID,54.6302,RSI_NEUTRAL,68.3675,57.3866,90.3292,KDJ_NEUTRAL,0.676,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
TER,TER,2026-05-29,374.31,356.997,394.7073,319.2867,0.7296,0.2113,False,BB_UPPER_HALF,54.7169,RSI_NEUTRAL,70.9447,67.1907,78.4527,KDJ_NEUTRAL,0.9102,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
TSLA,TSLA,2026-05-29,435.79,421.3945,459.3038,383.4852,0.6899,0.1799,False,BB_UPPER_HALF,60.0423,RSI_STRONG,75.5403,66.1078,94.4055,KDJ_NEUTRAL,0.8137,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
TSM,TSM,2026-05-29,418.45,407.146,426.9762,387.3158,0.785,0.0974,True,BB_UPPER_HALF,59.5211,RSI_NEUTRAL,73.1891,65.6026,88.3622,KDJ_NEUTRAL,0.807,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
TXN,TXN,2026-05-29,305.68,299.746,325.018,274.474,0.6174,0.1686,False,BB_UPPER_HALF,60.8831,RSI_STRONG,58.0418,68.418,37.2895,KDJ_NEUTRAL,1.1902,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
VST,VST,2026-05-29,160.23,151.2805,169.4125,133.1485,0.7468,0.2397,False,BB_UPPER_HALF,56.7306,RSI_NEUTRAL,76.715,67.2752,95.5948,KDJ_NEUTRAL,0.9813,0,0,0,50.0,TECH_TIMING_NEUTRAL,NONE,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
BTDR,BTDR,2026-05-29,17.49,14.078,17.4576,10.6984,1.0048,0.4801,False,BB_ABOVE_UPPER,67.9861,RSI_STRONG,85.8145,78.3444,100.7546,KDJ_NEUTRAL,1.4902,10,0,9,49.0,TECH_TIMING_NEUTRAL,BB_UPPER_CHASE_RISK,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,2026-05-29,15.32,VIX_NORMAL
