ticker,yf_ticker,price_date,close,bb_mid_20,bb_upper_20_2,bb_lower_20_2,bb_percent_b,bb_bandwidth,bb_squeeze_flag,bb_status,rsi_14,rsi_status,kdj_k,kdj_d,kdj_j,kdj_status,volume_ratio_5_20,overheat_penalty,pullback_timing_bonus,breakout_confirmation_bonus,technical_timing_score,technical_signal,technical_warning_label,option_data_status,put_call_ratio,iv_rank_proxy,gamma_squeeze_status,gamma_squeeze_risk_label,official_decision_impact,vix_date,vix_close,vix_regime,formula_compatibility,technical_status,technical_refresh_blocker,input_history_rows,duplicate_date_count,close_column_available,dryrun_scope
MELI,MELI,2026-05-20,1651.2,1717.2065,1960.1557,1474.2573,0.3642,0.283,False,BB_LOWER_HALF,45.1633,RSI_NEUTRAL,40.1048,29.7966,60.7212,KDJ_LOW_GOLDEN_CROSS,0.8739,0,16,0,66.0,TECH_TIMING_WATCH_POSITIVE,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
MOH,MOH,2026-05-20,182.24,187.7045,200.9024,174.5066,0.293,0.1406,True,BB_LOWER_HALF,54.7251,RSI_NEUTRAL,33.7814,42.203,16.9383,KDJ_NEUTRAL,0.6961,0,8,0,58.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
MPLX,MPLX,2026-05-20,55.44,55.392,57.0274,53.7566,0.5147,0.059,False,BB_MID,49.0626,RSI_NEUTRAL,65.5391,53.1297,90.3578,KDJ_NEUTRAL,0.9031,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
MTSI,MTSI,2026-05-20,375.71,326.1125,412.706,239.519,0.7864,0.5311,False,BB_UPPER_HALF,71.5992,RSI_OVERHEAT,64.949,74.1515,46.544,KDJ_NEUTRAL,1.1343,10,0,0,40.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
MTZ,MTZ,2026-05-20,384.21,404.7325,449.4603,360.0047,0.2706,0.221,False,BB_LOWER_HALF,46.9513,RSI_NEUTRAL,30.8045,43.9754,4.4627,KDJ_NEUTRAL,1.0372,0,8,0,58.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
NAMS,NAMS,2026-05-20,35.75,33.1105,40.9287,25.2923,0.6688,0.4722,False,BB_UPPER_HALF,55.9721,RSI_NEUTRAL,38.7202,49.392,17.3765,KDJ_NEUTRAL,0.9585,0,0,0,50.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
NFLX,NFLX,2026-05-20,88.09,89.5655,94.4077,84.7233,0.3476,0.1081,True,BB_LOWER_HALF,41.7163,RSI_WEAK,51.9949,42.9262,70.1323,KDJ_NEUTRAL,0.9053,0,14,0,64.0,TECH_TIMING_PULLBACK_WATCH,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
NI,NI,2026-05-20,47.02,47.552,48.8891,46.2149,0.3011,0.0562,False,BB_LOWER_HALF,47.6881,RSI_NEUTRAL,43.3428,34.2965,61.4354,KDJ_NEUTRAL,0.7574,0,8,0,58.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
NRG,NRG,2026-05-20,133.98,144.078,168.4649,119.6911,0.293,0.3385,False,BB_LOWER_HALF,41.1894,RSI_WEAK,22.9484,14.2292,40.387,KDJ_LOW_GOLDEN_CROSS,1.0424,0,22,0,72.0,TECH_TIMING_WATCH_POSITIVE,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
NTRA,NTRA,2026-05-20,204.92,202.028,218.1564,185.8996,0.5897,0.1597,False,BB_MID,52.0241,RSI_NEUTRAL,36.9815,32.0887,46.767,KDJ_LOW_GOLDEN_CROSS,1.0186,0,8,0,58.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
NU,NU,2026-05-20,12.79,13.705,15.431,11.979,0.2349,0.2519,False,BB_LOWER_HALF,36.6635,RSI_WEAK,23.095,16.7227,35.8396,KDJ_NEUTRAL,1.6957,0,14,4,68.0,TECH_TIMING_WATCH_POSITIVE,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1115,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
NUVB,NUVB,2026-05-20,4.51,4.6295,5.1377,4.1213,0.3824,0.2195,False,BB_LOWER_HALF,46.4908,RSI_NEUTRAL,35.2207,38.7987,28.0647,KDJ_NEUTRAL,1.0404,0,8,0,58.0,TECH_TIMING_NEUTRAL,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
OC,OC,2026-05-20,113.43,120.064,129.8028,110.3252,0.1594,0.1622,False,BB_LOWER_HALF,43.8357,RSI_WEAK,20.4164,19.0466,23.156,KDJ_LOW_GOLDEN_CROSS,1.0491,0,22,0,72.0,TECH_TIMING_WATCH_POSITIVE,VIX_OVERLAY_OMITTED_LOCAL_ONLY,NOT_AVAILABLE_RESERVED,,,NOT_AVAILABLE_RESERVED,NOT_AVAILABLE_RESERVED,NONE,,,NOT_AVAILABLE_RESERVED,PARTIAL_COMPATIBLE,TECHNICAL_DRYRUN_PARTIAL_COMPATIBLE_READY,NONE,1262,0,TRUE,LOCAL_OFFICIAL_PRICE_CACHE_ONLY
