input_order,raw_ticker,ticker,source_tag,initial_tier,is_blank_or_invalid,is_duplicate_in_manual_file,existed_before,final_present,final_tier,source_tag_added,validation_status,note
103,GRAB,GRAB,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
104,GS,GS,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
105,GSG,GSG,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
106,GT,GT,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
107,HIVE,HIVE,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
108,HLT,HLT,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
109,HOOD,HOOD,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
110,HPE,HPE,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
111,HTZ,HTZ,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
112,HUBS,HUBS,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
113,HUM,HUM,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
114,HUT,HUT,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
115,IBIT,IBIT,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
116,INFY,INFY,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
117,INSM,INSM,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
118,INTC,INTC,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
119,IREN,IREN,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
120,ISRG,ISRG,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
121,IWM,IWM,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
122,JBL,JBL,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
123,JBS,JBS,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
124,JCI,JCI,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
125,JD,JD,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
126,JFROG,JFROG,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,RESEARCH,TRUE,PASS,user_manual_large_universe_addition
127,JHX,JHX,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
128,KKR,KKR,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
129,KLAR,KLAR,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
130,KNX,KNX,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
131,KRC,KRC,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
132,KVYO,KVYO,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
133,KWEB,KWEB,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
134,LBRT,LBRT,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
135,LCID,LCID,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
136,LHX,LHX,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
137,LIN,LIN,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
138,LINE,LINE,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
139,LITE,LITE,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CORE_DAILY,TRUE,PASS,user_manual_large_universe_addition
140,LPLA,LPLA,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
141,LRCX,LRCX,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
142,LSCC,LSCC,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
143,LYB,LYB,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
144,LYFT,LYFT,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
145,MA,MA,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
146,MDB,MDB,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
147,MCK,MCK,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
148,MELI,MELI,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
149,META,META,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
150,MKSI,MKSI,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
151,MNTN,MNTN,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
152,MOH,MOH,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
153,MPW,MPW,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,RESEARCH,TRUE,PASS,user_manual_large_universe_addition
154,MPLX,MPLX,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
155,MSFT,MSFT,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
156,MTSI,MTSI,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
157,MTZ,MTZ,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
158,MU,MU,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
159,NAMS,NAMS,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
160,NET,NET,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
161,NFLX,NFLX,MANUAL_EXPANSION_20260519,RESEARCH,FALSE,FALSE,TRUE,TRUE,CANDIDATE,TRUE,PASS,user_manual_large_universe_addition
