ticker,force_eligible,classification,selection_reason,selected,last_success_scan_date,last_scan_status,last_scan_run_id,attempt_scan_count,success_scan_count
CVNA,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
DAKT,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
DAL,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
DASH,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
DB,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
DBVT,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
DIS,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
DOCU,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
DUOL,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
EEM,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
ENPH,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
EQIX,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
EQT,FALSE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,BOOTSTRAP_NEVER_SUCCESS_NOT_FORCE_ELIGIBLE,TRUE,,SKIPPED_NO_LOCAL_DATA,V18_23B_R1_20260521_141659,1,0
