ticker,universe_tier,data_depth,selected_this_run,update_attempted,update_status,update_mode,used_yfinance,cache_file,cache_exists_before,cache_exists_after,local_source_used,local_source_path,target_history_days,available_history_days,latest_price_date,latest_close,row_count_before,row_count_after,rows_added,failed_reason,runtime_deferred,updated_at
UBER,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/UBER.csv,TRUE,TRUE,TRUE,state/v18/price_cache/UBER.csv,270,1768,2026-05-21,73.30500030517578,1768,1768,0,,FALSE,2026-05-27T12:58:08
UNH,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/UNH.csv,TRUE,TRUE,TRUE,state/v18/price_cache/UNH.csv,270,10479,2026-05-21,385.1099853515625,10479,10479,0,,FALSE,2026-05-27T12:58:08
UPST,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/UPST.csv,TRUE,TRUE,TRUE,state/v18/price_cache/UPST.csv,270,1363,2026-05-21,28.850000381469727,1363,1363,0,,FALSE,2026-05-27T12:58:08
AMC,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/AMC.csv,TRUE,TRUE,TRUE,state/v18/price_cache/AMC.csv,270,3124,2026-05-21,1.559999942779541,3124,3124,0,,FALSE,2026-05-27T12:58:08
BAC,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/BAC.csv,TRUE,TRUE,TRUE,state/v18/price_cache/BAC.csv,270,1262,2026-05-20,51.22999954223633,1262,1262,0,,FALSE,2026-05-27T12:58:08
BYND,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/BYND.csv,TRUE,TRUE,TRUE,state/v18/price_cache/BYND.csv,270,1774,2026-05-21,0.7889999747276306,1774,1774,0,,FALSE,2026-05-27T12:58:08
COGT,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/COGT.csv,TRUE,TRUE,TRUE,state/v18/price_cache/COGT.csv,270,2048,2026-05-21,32.58000183105469,2048,2048,0,,FALSE,2026-05-27T12:58:08
COHU,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/COHU.csv,TRUE,TRUE,TRUE,state/v18/price_cache/COHU.csv,270,1420,2026-05-15,46.97999954223633,1420,1420,0,,FALSE,2026-05-27T12:58:08
CRWV,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/CRWV.csv,TRUE,TRUE,TRUE,state/v18/price_cache/CRWV.csv,270,285,2026-05-15,109.12000274658203,285,285,0,,FALSE,2026-05-27T12:58:08
CVNA,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/CVNA.csv,TRUE,TRUE,TRUE,state/v18/price_cache/CVNA.csv,270,2279,2026-05-21,64.38999938964844,2279,2279,0,,FALSE,2026-05-27T12:58:08
DBVT,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/DBVT.csv,TRUE,TRUE,TRUE,state/v18/price_cache/DBVT.csv,270,2912,2026-05-21,18.56999969482422,2912,2912,0,,FALSE,2026-05-27T12:58:08
FCNCA,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/FCNCA.csv,TRUE,TRUE,TRUE,state/v18/price_cache/FCNCA.csv,270,9971,2026-05-21,1989.47998046875,9971,9971,0,,FALSE,2026-05-27T12:58:08
HOOD,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/HOOD.csv,TRUE,TRUE,TRUE,state/v18/price_cache/HOOD.csv,270,1209,2026-05-21,75.91999816894531,1209,1209,0,,FALSE,2026-05-27T12:58:08
INSM,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/INSM.csv,TRUE,TRUE,TRUE,state/v18/price_cache/INSM.csv,270,6532,2026-05-21,109.52999877929688,6532,6532,0,,FALSE,2026-05-27T12:58:08
NVAX,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/NVAX.csv,TRUE,TRUE,TRUE,state/v18/price_cache/NVAX.csv,270,7665,2026-05-21,8.979999542236328,7665,7665,0,,FALSE,2026-05-27T12:58:08
SOXL,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/SOXL.csv,TRUE,TRUE,TRUE,state/v18/price_cache/SOXL.csv,270,1420,2026-05-15,169.00999450683594,1420,1420,0,,FALSE,2026-05-27T12:58:08
USFD,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/USFD.csv,TRUE,TRUE,TRUE,state/v18/price_cache/USFD.csv,270,2511,2026-05-21,81.23999786376953,2511,2511,0,,FALSE,2026-05-27T12:58:08
V,CANDIDATE,MEDIUM_TREND_DATA,TRUE,TRUE,CACHE_ONLY,LOCAL_CACHE_ONLY_SAFE_MODE,FALSE,state/v18/price_cache/V.csv,TRUE,TRUE,TRUE,state/v18/price_cache/V.csv,270,4573,2026-05-21,331.1199951171875,4573,4573,0,,FALSE,2026-05-27T12:58:08
