"old_rank","ticker","in_old_top20","composite_candidate_score","factor_score","technical_score","old_latest_price_date","force_price_date","force_close","overlay_price_date","overlay_close","change_pct_from_overlay","manual_scan_flag"
"109","UPST","FALSE","34.519048",,,"2026-05-21","2026-05-29","33.79","2026-05-28","32.69","3.36","LATEST_PRICE_OK"
"110","BALL","FALSE","34.354052",,,"2026-05-20","2026-05-29","54.67","2026-05-28","56.24","-2.79","LATEST_PRICE_OK"
"111","CVNA","FALSE","34.321612",,,"2026-05-21","2026-05-29","73","2026-05-28","73.49","-0.67","LATEST_PRICE_OK"
"112","OC","FALSE","34.24713",,,"2026-05-20","2026-05-29","125.82","2026-05-28","124.24","1.27","LATEST_PRICE_OK"
"113","BYND","FALSE","33.941802",,,"2026-05-21","2026-05-29","0.789","2026-05-28","0.82","-3.78","LATEST_PRICE_OK"
"114","KKR","FALSE","33.926012",,,"2026-05-20","2026-05-29","95.94","2026-05-28","94.03","2.03","LATEST_PRICE_OK"
"115","RNG","FALSE","33.77411",,,"2026-05-21","2026-05-29","43.31","2026-05-28","41.86","3.46","LATEST_PRICE_OK"
"116","BKNG","FALSE","33.747565",,,"2026-05-20","2026-05-29","167.43","2026-05-28","169.82","-1.41","LATEST_PRICE_OK"
"117","JD","FALSE","33.672735",,,"2026-05-20","2026-05-29","28.83","2026-05-28","29.14","-1.06","LATEST_PRICE_OK"
"118","PTGX","FALSE","33.581955",,,"2026-05-21","2026-05-29","99.56","2026-05-28","100.41","-0.85","LATEST_PRICE_OK"
"119","CDNS","FALSE","33.552233",,,"2026-05-20","2026-05-29","374.93","2026-05-28","373.85","0.29","LATEST_PRICE_OK"
"120","USFD","FALSE","33.54238",,,"2026-05-21","2026-05-29","81.85","2026-05-28","81.15","0.86","LATEST_PRICE_OK"
"121","SFIX","FALSE","33.536378",,,"2026-05-21","2026-05-29","3.56","2026-05-28","3.69","-3.52","LATEST_PRICE_OK"
"122","WAB","FALSE","33.445361",,,"2026-05-21","2026-05-29","261.16","2026-05-28","261.2","-0.02","LATEST_PRICE_OK"
