factor_pack_rank,ticker,factor_pack_score,latest_price_date,latest_close,ret_5d,ret_20d,ret_60d,ret_120d,volume_ratio_5_20,F006_SHORT_REV_5D,F007_PULLBACK_IN_UPTREND,F008_VOLUME_ABNORMAL_5_20,F009_VOLUME_PRICE_CONFIRM,F010_XSEC_COMPOSITE_RANK,F011_TS_MOMENTUM_60_120,F012_TS_PULLBACK_REVERSAL,volatility_penalty,overheat_penalty,shadow_side_hint
272,LYFT,28.000578,2026-05-29,14.109999656677246,0.081226,0.005702,0.052985,-0.300099,1.130887,29.6935,6.258,42.059133,34.408053,28.000578,25.0962,6.258,,,V18_35D_RECOMPUTE
273,LPLA,27.8505,2026-05-29,273.7699890136719,-0.081956,-0.147134,-0.140359,-0.226004,1.123363,70.489,33.333333,41.557533,5.785851,27.8505,21.121233,33.333333,,,V18_35D_RECOMPUTE
274,ADBE,27.297215,2026-05-29,259.2099914550781,0.093667,0.084651,0.005430,-0.183642,1.168608,26.58325,2.111,44.573867,49.820639,27.297215,27.392933,2.111,,,V18_35D_RECOMPUTE
275,PCOR,27.1799,2026-05-29,49.4900016784668,0.068206,-0.106679,-0.113241,-0.331758,0.591144,32.9485,33.333333,6.076267,22.822892,27.1799,18.500033,33.333333,,,V18_35D_RECOMPUTE
276,SPOT,27.052138,2026-05-29,497.67999267578125,0.139012,-0.039228,0.004096,-0.168968,1.025846,15.247,0.0,35.0564,26.626352,27.052138,27.8376,0.0,,,V18_35D_RECOMPUTE
277,HUBS,26.678389,2026-05-29,220.6300048828125,0.202605,0.027668,-0.102035,-0.390205,0.983087,0.0,33.333333,32.2058,37.866675,26.678389,16.925333,33.333333,,,V18_35D_RECOMPUTE
278,CPNG,26.66993,2026-05-29,16.600000381469727,0.000603,-0.193392,-0.095861,-0.404805,1.008426,49.84925,33.333333,33.895067,0.829747,26.66993,16.644467,33.333333,,,V18_35D_RECOMPUTE
279,KVYO,26.610341,2026-05-29,15.84000015258789,0.104603,-0.155650,-0.081206,-0.442057,0.86855,23.84925,33.333333,24.57,10.801699,26.610341,15.891233,33.333333,,,V18_35D_RECOMPUTE
280,ISRG,26.608496,2026-05-29,424.6400146484375,-0.007989,-0.113153,-0.161072,-0.260505,0.977588,51.99725,33.333333,31.8392,14.897164,26.608496,19.280767,33.333333,,,V18_35D_RECOMPUTE
281,BABA,26.54676,2026-05-29,124.22000122070312,-0.119756,-0.056796,-0.184266,-0.211802,0.915372,79.939,33.333333,27.691467,24.668422,26.54676,20.131067,33.333333,,,V18_35D_RECOMPUTE
282,WDAY,26.343325,2026-05-29,146.19000244140625,0.169426,0.220691,0.050895,-0.322002,1.34215,7.6435,0.0,56.143333,82.700071,26.343325,24.296433,0.0,,,V18_35D_RECOMPUTE
