ticker,selected_price_source,source_type,latest_date,latest_close,row_count,has_volume,history_depth_days,history_depth_trading_rows,factor_scope_class,can_compute_return_20d,can_compute_return_60d,can_compute_sma20,can_compute_sma50,can_compute_sma200,can_compute_52w_high,can_compute_realized_vol_20d,can_compute_realized_vol_60d,can_compute_volume_surge,can_compute_buy_zone,can_compute_relative_strength_vs_qqq
CRWD,D:\us-tech-quant\state\v18\price_cache\CRWD.csv,STATE_V18_PRICE_CACHE,2026-05-15,585.030029,1420,TRUE,1420,1420,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CRWV,D:\us-tech-quant\state\v18\price_cache\CRWV.csv,STATE_V18_PRICE_CACHE,2026-05-15,109.120003,285,TRUE,285,285,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CSCO,D:\us-tech-quant\state\v18\price_cache\CSCO.csv,STATE_V18_PRICE_CACHE,2026-05-15,116.559998,1420,TRUE,1420,1420,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CSGP,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CVNA,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
D,D:\us-tech-quant\state\v18\price_cache\D.csv,STATE_V18_PRICE_CACHE,2026-05-15,62.158001,1420,TRUE,1420,1420,FULL_HISTORY_FACTOR_READY,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
DAKT,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DAL,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DASH,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DB,,NONE,,,0,FALSE,0,0,NO_LOCAL_PRICE_DATA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
