ticker,latest_date,latest_close,return_20d,return_60d,qqq_return_20d,qqq_return_60d,relative_strength_20d_vs_qqq,relative_strength_60d_vs_qqq,sma20,sma50,sma200,distance_to_20dma,distance_to_50dma,distance_to_200dma,rolling_52w_high,drawdown_from_52w_high,realized_volatility_20d,realized_volatility_60d,avg_volume_20d,volume_surge_20d,breakout_20d,breakout_60d,breakout_volume_confirmed,ma_alignment_label,ma_slope_20d,ma_slope_50d,ma_slope_200d,ma_slope_label,nearest_buy_zone_distance,buy_zone_label,price_factor_data_status,price_source_path
COHR,2026-05-15,387.089996,0.121935,0.665046,0.094860,0.177192,0.027075,0.487854,345.468002,298.148402,191.489900,0.120480,0.298313,1.021464,404.940002,-0.044081,0.750458,0.858373,6455794.20,0.536229,FALSE,FALSE,FALSE,BULLISH_ALIGNMENT,0.052856,0.040631,0.038845,RISING_MA_SLOPES,0.120480,EXTENDED_ABOVE_BUY_ZONE,OK,D:\us-tech-quant\state\v18\price_cache\COHR.csv
COHU,2026-05-15,46.980000,0.138633,0.549984,0.094860,0.177192,0.043773,0.372792,47.096500,38.062200,27.533550,-0.002474,0.234295,0.706282,51.279999,-0.083853,0.556224,0.522254,1556382.80,0.131816,FALSE,FALSE,FALSE,MIXED_ALIGNMENT,0.056046,0.053275,0.027989,RISING_MA_SLOPES,-0.002474,NEAR_20DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\COHU.csv
CORZ,2026-05-15,23.815001,0.199748,0.324527,0.094860,0.177192,0.104888,0.147335,21.811250,18.751700,17.245175,0.091868,0.270018,0.380966,24.920000,-0.044342,0.692353,0.654331,16962934.05,0.215663,FALSE,FALSE,FALSE,BULLISH_ALIGNMENT,0.054932,0.042097,0.015019,RISING_MA_SLOPES,-0.044342,BREAKOUT_NEAR,OK,D:\us-tech-quant\state\v18\price_cache\CORZ.csv
CPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CPNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CRCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CRDO,2026-05-15,175.770004,0.093845,0.345247,0.094860,0.177192,-0.001015,0.168055,185.783750,142.820100,141.368450,-0.053900,0.230709,0.243347,210.220001,-0.163876,0.908498,0.988622,5895153.45,0.389416,FALSE,FALSE,FALSE,MIXED_ALIGNMENT,0.049903,0.062078,0.015178,RISING_MA_SLOPES,-0.053900,NEAR_20DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\CRDO.csv
CRH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CRM,2026-05-15,173.235001,-0.048891,-0.065060,0.094860,0.177192,-0.143751,-0.242252,179.749252,183.817701,224.191776,-0.036241,-0.057572,-0.227291,291.149994,-0.404997,0.498787,0.441889,11766163.85,0.418112,FALSE,FALSE,FALSE,BEARISH_ALIGNMENT,-0.008176,-0.013185,-0.010675,FALLING_MA_SLOPES,-0.057572,BELOW_KEY_SUPPORT,OK,D:\us-tech-quant\state\v18\price_cache\CRM.csv
CRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CRWD,2026-05-15,585.030029,0.379950,0.385867,0.094860,0.177192,0.285090,0.208675,488.482503,442.356600,460.419950,0.197648,0.322530,0.270644,585.030029,0.000000,0.416892,0.560394,2700473.80,0.480425,TRUE,TRUE,FALSE,BEARISH_ALIGNMENT,0.084589,0.039179,0.005297,RISING_MA_SLOPES,0.197648,EXTENDED_ABOVE_BUY_ZONE,OK,D:\us-tech-quant\state\v18\price_cache\CRWD.csv
CRWV,2026-05-15,109.120003,-0.066153,0.123327,0.094860,0.177192,-0.161013,-0.053865,116.823249,99.228300,100.361500,-0.065939,0.099686,0.087270,183.580002,-0.405600,0.897409,0.949811,28264702.25,0.352958,FALSE,FALSE,FALSE,BEARISH_ALIGNMENT,-0.010786,0.035780,-0.000022,MIXED_MA_SLOPES,-0.065939,NEAR_20DMA_PULLBACK,OK,D:\us-tech-quant\state\v18\price_cache\CRWV.csv
CSCO,2026-05-15,116.559998,0.351420,0.483707,0.094860,0.177192,0.256560,0.306515,94.606000,85.884400,76.641550,0.232057,0.357173,0.520846,116.559998,0.000000,0.498193,0.365862,23182946.55,0.673867,TRUE,TRUE,FALSE,BULLISH_ALIGNMENT,0.064053,0.032024,0.012606,RISING_MA_SLOPES,0.232057,EXTENDED_ABOVE_BUY_ZONE,OK,D:\us-tech-quant\state\v18\price_cache\CSCO.csv
CSGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
CVNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MISSING_LOCAL_PRICE_HISTORY,
