"ticker","semantic_layer","trade_meaning_cn","in_raw_universe","in_classified_universe","in_main_compute_universe","in_second_stage_candidate","raw_price_ok","price_status","latest_price_date","latest_close","manual_review_decision","previous_full_pipeline_status","special_tag","inferred_exclusion_reason"
"ZS","MAIN_COMPUTE_UNIVERSE","进入主计算/执行前置层；但未进入重点候选池","True","True","True","False","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","161.0500030517578","WATCH","SELECTED_FOR_EXECUTION_REVIEW","",""
"AAPL","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","300.2300109863281","","SECOND_STAGE_CANDIDATE","",""
"ACLS","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","155.17999267578125","","SECOND_STAGE_CANDIDATE","",""
"ACM","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","71.30999755859375","WATCH","SECOND_STAGE_CANDIDATE","",""
"ACMR","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","63.66999816894531","","SECOND_STAGE_CANDIDATE","",""
"AEHR","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","99.5","","SECOND_STAGE_CANDIDATE","",""
"ALAB","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","232.67999267578125","","SECOND_STAGE_CANDIDATE","",""
"AMAT","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","436.6199951171875","","SECOND_STAGE_CANDIDATE","",""
"AMD","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","424.1000061035156","","SECOND_STAGE_CANDIDATE","",""
"AMKR","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","70.3499984741211","","SECOND_STAGE_CANDIDATE","",""
"AMZN","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","264.1400146484375","","SECOND_STAGE_CANDIDATE","",""
"ANET","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","141.97000122070312","WATCH","SECOND_STAGE_CANDIDATE","",""
"APH","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","125.0","","SECOND_STAGE_CANDIDATE","",""
"ARM","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","209.16000366210935","WATCH","SECOND_STAGE_CANDIDATE","",""
"ASML","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","1501.81005859375","","SECOND_STAGE_CANDIDATE","",""
"AVGO","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","425.1900024414063","","SECOND_STAGE_CANDIDATE","",""
"BE","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","275.95001220703125","BLOCK","SECOND_STAGE_CANDIDATE","",""
"BTDR","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","13.350000381469728","","SECOND_STAGE_CANDIDATE","",""
"CAMT","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","168.35000610351562","","SECOND_STAGE_CANDIDATE","",""
"CARR","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","64.66999816894531","","SECOND_STAGE_CANDIDATE","",""
"CEG","SECOND_STAGE_CANDIDATE","重点候选池；仍需事件风险、预算、人工复核和触发价确认","True","True","True","True","True","OK_EXISTING_LOCAL_PRICE","2026-05-15","267.20001220703125","","SECOND_STAGE_CANDIDATE","",""
