ticker,r6_integration_success,r7_ledger_success,current_output_bucket,current_trust_level,official_rank_allowed,watch_only,trade_allowed,score_available,best_available_score,factor_pack_present,technical_present,technical_status,tier_migration_present,tier_current,official_price_cache_available,rolling_ledger_last_status,rolling_ledger_last_success_date,current_data_gap_reason,promotion_blocker_primary,promotion_blocker_secondary,recommended_next_fix
CDNS,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,69.23,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
CHPT,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,55.77,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
CHRW,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,73.08,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
CLF,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,5.77,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
CLH,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,84.62,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
CLSK,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,17.31,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
CMG,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,25.0,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
LPLA,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,51.92,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
LSCC,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,13.46,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
LYB,TRUE,TRUE,HIGH_TRUST_OFFICIAL_RANK_CANDIDATE,HIGH,TRUE,FALSE,FALSE,TRUE,82.69,TRUE,TRUE,,TRUE,TIER_0_DATA_NOT_READY,TRUE,SUCCESS_LOCAL_PRICE_FULL_HISTORY,2026-05-21,NO_MAJOR_DATA_GAP_DETECTED,BLOCKED_UNKNOWN,BLOCKED_UNKNOWN,CONTINUE_BATCH3_STAGED_BACKFILL
