path,item_type,size_mb,reason,reference_count,referenced_by_sample,current_alias_related,stable_snapshot_related,manual_state_related,price_cache_related,source_code_related,generated_output_related
state/v18/price_cache/ALAB.csv,FILE,0.0957,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
state/v18/price_cache/GEV.csv,FILE,0.0942,Always protected by policy or current-line status.,0,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
outputs/v18/simulation/V18_CURRENT_SIM_CANDIDATE_TRACKER.csv.before_v18_10A_R2_factor_capture_20260517_014422.bak,FILE,0.074,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
outputs/v18/simulation/V18_CURRENT_SIM_CANDIDATE_TRACKER.csv.before_v18_10A_R2_factor_capture_20260517_014958.bak,FILE,0.074,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
outputs/v18/simulation/V18_CURRENT_SIM_CANDIDATE_TRACKER.csv.before_v18_10A_R2_factor_capture_20260517_020200.bak,FILE,0.074,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
outputs/v18/simulation/V18_CURRENT_SIM_CANDIDATE_TRACKER.csv.before_v18_10A_R2_factor_capture_20260517_220436.bak,FILE,0.074,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
outputs/v18/factor_lab/V18_1B_FACTOR_VALUES_CURRENT.csv,FILE,0.072,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v18/factor_lab/V18_1B_FACTOR_VALUES_CURRENT.csv,FILE,0.071,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
outputs/v18/factor_research/V18_10B_R1_CURRENT_FORWARD_RETURN_PENDING_ROWS.csv,FILE,0.063,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
outputs/v18/factor_audit/V18_4E_CURRENT_FACTOR_OUTPUT_FORWARD_AUDIT.csv,FILE,0.062,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw105_decision/v17_8C_current_raw105_full_decision.csv,FILE,0.060,Current alias or active output should be preserved.,0,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
archive/stable/V18_19A_R1_stable_daily_readability_refactor_20260519_171556/scripts/v18/v18_19A_daily_readability_refactor.py,FILE,0.0576,Always protected by policy or current-line status.,0,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
