snapshot_run_id,snapshot_layer,signal_date,signal_date_source,portfolio_id,ticker,final_weight,source_rank,motif_id,composite_candidate_score,technical_timing_score,factor_pack_score,entry_price,entry_price_source,entry_price_date,forward_1d_return,forward_3d_return,forward_5d_return,forward_10d_return,forward_20d_return,forward_fill_status,official_decision_impact,research_only
V18_37C_20260525_184809,V18_37C_SHADOW_PORTFOLIO,2026-05-25,V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv:signal_date,FULL318_EQUAL_WEIGHT,VMC,0.0031446541,156,,32.809491,70.0,29.523727,262.0799865722656,CURRENT_CANDIDATE_PRICE_FIELD,2026-05-21,,,,,,WAITING_FOR_FUTURE_LOCAL_PRICES,NONE,TRUE
V18_37C_20260525_184809,V18_37C_SHADOW_PORTFOLIO,2026-05-25,V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv:signal_date,FULL318_EQUAL_WEIGHT,PYPL,0.0031446541,157,,32.785338,70.0,29.463345,44.1349983215332,CURRENT_CANDIDATE_PRICE_FIELD,2026-05-21,,,,,,WAITING_FOR_FUTURE_LOCAL_PRICES,NONE,TRUE
V18_37C_20260525_184809,V18_37C_SHADOW_PORTFOLIO,2026-05-25,V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv:signal_date,FULL318_EQUAL_WEIGHT,SHW,0.0031446541,158,,32.689895,70.0,29.224737,303.8699951171875,CURRENT_CANDIDATE_PRICE_FIELD,2026-05-21,,,,,,WAITING_FOR_FUTURE_LOCAL_PRICES,NONE,TRUE
V18_37C_20260525_184809,V18_37C_SHADOW_PORTFOLIO,2026-05-25,V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv:signal_date,FULL318_EQUAL_WEIGHT,TSLA,0.0031446541,159,,32.524,50.0,43.81,409.98999,CURRENT_CANDIDATE_PRICE_FIELD,2026-05-18,,,,,,WAITING_FOR_FUTURE_LOCAL_PRICES,NONE,TRUE
V18_37C_20260525_184809,V18_37C_SHADOW_PORTFOLIO,2026-05-25,V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv:signal_date,FULL318_EQUAL_WEIGHT,RDDT,0.0031446541,160,,32.457146,70.0,28.642866,141.48739624023438,CURRENT_CANDIDATE_PRICE_FIELD,2026-05-22,,,,,,WAITING_FOR_FUTURE_LOCAL_PRICES,NONE,TRUE
V18_37C_20260525_184809,V18_37C_SHADOW_PORTFOLIO,2026-05-25,V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv:signal_date,FULL318_EQUAL_WEIGHT,HIVE,0.0031446541,161,,32.427821,30.0,58.569552,3.869999885559082,CURRENT_CANDIDATE_PRICE_FIELD,2026-05-20,,,,,,WAITING_FOR_FUTURE_LOCAL_PRICES,NONE,TRUE
V18_37C_20260525_184809,V18_37C_SHADOW_PORTFOLIO,2026-05-25,V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv:signal_date,FULL318_EQUAL_WEIGHT,TEVA,0.0031446541,162,,32.389117,50.0,43.472792,33.93000030517578,CURRENT_CANDIDATE_PRICE_FIELD,2026-05-21,,,,,,WAITING_FOR_FUTURE_LOCAL_PRICES,NONE,TRUE
V18_37C_20260525_184809,V18_37C_SHADOW_PORTFOLIO,2026-05-25,V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv:signal_date,FULL318_EQUAL_WEIGHT,SFM,0.0031446541,163,,32.322369,50.0,43.305923,84.61499786376953,CURRENT_CANDIDATE_PRICE_FIELD,2026-05-21,,,,,,WAITING_FOR_FUTURE_LOCAL_PRICES,NONE,TRUE
V18_37C_20260525_184809,V18_37C_SHADOW_PORTFOLIO,2026-05-25,V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv:signal_date,FULL318_EQUAL_WEIGHT,WWD,0.0031446541,164,,32.304956,60.0,35.762391,355.760009765625,CURRENT_CANDIDATE_PRICE_FIELD,2026-05-21,,,,,,WAITING_FOR_FUTURE_LOCAL_PRICES,NONE,TRUE
V18_37C_20260525_184809,V18_37C_SHADOW_PORTFOLIO,2026-05-25,V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv:signal_date,FULL318_EQUAL_WEIGHT,CRH,0.0031446541,165,,32.289218,70.0,28.223045,101.44999694824219,CURRENT_CANDIDATE_PRICE_FIELD,2026-05-20,,,,,,WAITING_FOR_FUTURE_LOCAL_PRICES,NONE,TRUE
V18_37C_20260525_184809,V18_37C_SHADOW_PORTFOLIO,2026-05-25,V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv:signal_date,FULL318_EQUAL_WEIGHT,UBER,0.0031446541,166,,32.166154,60.0,35.415384,73.30500030517578,CURRENT_CANDIDATE_PRICE_FIELD,2026-05-21,,,,,,WAITING_FOR_FUTURE_LOCAL_PRICES,NONE,TRUE
V18_37C_20260525_184809,V18_37C_SHADOW_PORTFOLIO,2026-05-25,V18_14D_CURRENT_RANKED_CANDIDATE_FORWARD_PRICE_FILLER.csv:signal_date,FULL318_EQUAL_WEIGHT,PINS,0.0031446541,167,,32.146805,60.0,35.367012,18.780000686645508,CURRENT_CANDIDATE_PRICE_FIELD,2026-05-21,,,,,,WAITING_FOR_FUTURE_LOCAL_PRICES,NONE,TRUE
