source_path,size_mb,mode,action,skip_reason,archive_group,zip_path,zip_member_path,source_exists_before,source_exists_after,zip_verified,included_in_zip,current_alias_violation,protected_path_violation,source_code_violation,validation_status
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/universe/V16_FULL_UNIVERSE_SELECTED_FOR_EXECUTION.csv,0.015,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/universe/V16_FULL_UNIVERSE_SELECTED_FOR_EXECUTION.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/universe/V16_FULL_UNIVERSE_RAW.csv,0.014,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/universe/V16_FULL_UNIVERSE_RAW.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v17/price/v17_6E_screened_universe_tickers.csv,0.014,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v17/price/v17_6E_screened_universe_tickers.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw_universe_audit/v17_7F_raw105_latest_price_refresh.csv,0.013,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw_universe_audit/v17_7F_raw105_latest_price_refresh.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v17/raw_universe_audit/v17_7F_raw105_latest_price_refresh.csv,0.013,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v17/raw_universe_audit/v17_7F_raw105_latest_price_refresh.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw_universe_audit/v17_7D_main_compute_delta_audit.csv,0.012,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw_universe_audit/v17_7D_main_compute_delta_audit.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v17/price/v17_6E_screened_universe_latest_prices.csv,0.012,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v17/price/v17_6E_screened_universe_latest_prices.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/universe/V16_FULL_UNIVERSE_TOP_REVIEW.csv,0.011,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/universe/V16_FULL_UNIVERSE_TOP_REVIEW.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
archive/deprecated/v18_4C_event_price_merge_20260514_223322/scripts/run_v16_daily_auto_update_before_v17_4_dashboard_20260511_175841.ps1,0.010,DRYRUN,SKIPPED,Not an OLD_GENERATED_REPORTS archive-group original.,OLD_EXPERIMENTAL_WRAPPERS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_experimental_wrappers.zip,archive/deprecated/v18_4C_event_price_merge_20260514_223322/scripts/run_v16_daily_auto_update_before_v17_4_dashboard_20260511_175841.ps1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,BLOCKED
outputs/v17/raw105_decision/v17_8B_actionable_buy_candidates.csv,0.010,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v17/raw105_decision/v17_8B_actionable_buy_candidates.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
outputs/v17/raw105_decision/v17_8A_today_buy_candidates.csv,0.009,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,outputs/v17/raw105_decision/v17_8A_today_buy_candidates.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/factor_effectiveness/v17_3_1B_factor_group_performance.csv,0.008,APPLY,DELETED,,OLD_GENERATED_REPORTS,archive/legacy_cleanup/V18_20G_verified_legacy_archive_20260519_200428/V18_20G_old_generated_reports.zip,archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/factor_effectiveness/v17_3_1B_factor_group_performance.csv,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,OK
