path,size_mb,modified_time,extension,original_v18_20A_category,new_triage_category,proposed_later_action,reason,reference_count,referenced_by_sample,current_alias_related,stable_snapshot_related,manual_state_related,price_cache_related,dangerous_token_related,source_code_related,generated_output_related,confidence
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/factor_effectiveness/V17_3_1B_FACTOR_PERFORMANCE_DASHBOARD.md,0.0033,2026-05-15T15:58:05,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Historical generated report contains operational tokens and should be archived first.,0,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,MEDIUM
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/read_center/v16_22_5_universe_script_proof.csv,0.0032,2026-05-15T15:57:26,.csv,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Versioned historical generated output is likely useful for debugging.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MEDIUM
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v18/factor_validation/V18_2A_FACTOR_VALIDATION_REPORT.md,0.0032,2026-05-13T16:55:43,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Historical generated report contains operational tokens and should be archived first.,0,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,MEDIUM
outputs/v18/factor_validation/V18_2A_FACTOR_VALIDATION_REPORT.md,0.0032,2026-05-13T16:55:43,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Historical generated report contains operational tokens and should be archived first.,0,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,MEDIUM
outputs/v18/factor_audit/V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260518_130825.md,0.0031,2026-05-18T13:08:34,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Historical generated report contains operational tokens and should be archived first.,0,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,MEDIUM
outputs/v18/factor_audit/V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260518_131254.md,0.0031,2026-05-18T13:13:02,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Historical generated report contains operational tokens and should be archived first.,0,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,MEDIUM
outputs/v18/factor_audit/V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260518_164754.md,0.0031,2026-05-18T16:48:05,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Historical generated report contains operational tokens and should be archived first.,0,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,MEDIUM
outputs/v18/factor_audit/V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260518_212518.md,0.0031,2026-05-18T21:25:28,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Historical generated report contains operational tokens and should be archived first.,0,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,MEDIUM
outputs/v18/factor_audit/V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260518_213854.md,0.0031,2026-05-18T21:39:06,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Historical generated report contains operational tokens and should be archived first.,0,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,MEDIUM
outputs/v18/factor_audit/V18_4E_FACTOR_OUTPUT_FORWARD_AUDIT_20260519_105611.md,0.0031,2026-05-19T10:56:24,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Historical generated report contains operational tokens and should be archived first.,0,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,MEDIUM
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw_universe_audit/V17_7D_MAIN_COMPUTE_DELTA_AUDIT.md,0.0030,2026-05-15T15:58:39,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Versioned historical generated output is likely useful for debugging.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MEDIUM
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/review/V16_FULL_CANDIDATE_REVIEW.csv,0.0029,2026-05-15T15:57:03,.csv,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Historical generated report contains operational tokens and should be archived first.,0,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,MEDIUM
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/factor_effectiveness/V17_3_FACTOR_PERFORMANCE_DASHBOARD.md,0.0029,2026-05-15T15:58:05,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Historical generated report contains operational tokens and should be archived first.,0,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,MEDIUM
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v17/raw_universe_audit/V17_7C_R1_MANUAL_DAILY_WITH_RAW105_AUDIT_SUMMARY.md,0.0029,2026-05-15T15:58:39,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Versioned historical generated output is likely useful for debugging.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MEDIUM
outputs/v17/raw_universe_audit/V17_7C_R1_MANUAL_DAILY_WITH_RAW105_AUDIT_SUMMARY.md,0.0029,2026-05-19T10:53:41,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Versioned historical generated output is likely useful for debugging.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MEDIUM
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v18/factor_validation/V18_2B_FACTOR_TOP20_SECTOR_EXPOSURE.csv,0.0027,2026-05-13T19:29:08,.csv,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Versioned historical generated output is likely useful for debugging.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MEDIUM
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/universe/V16_DAILY_FULL_UNIVERSE_GATE.md,0.0025,2026-05-15T15:57:03,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Versioned historical generated output is likely useful for debugging.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MEDIUM
archive/deprecated/v18_4K_workspace_cleanup_20260515_172036/outputs/v16/read_center/V16_24_2B_CLASSIC_DAILY_BRIEF.md,0.0023,2026-05-15T15:57:27,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Historical generated report contains operational tokens and should be archived first.,0,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,MEDIUM
outputs/v17/price/V17_6E_SCREENED_UNIVERSE_LATEST_PRICE_AUDIT.md,0.0023,2026-05-19T10:53:08,.md,REVIEW_REQUIRED,ARCHIVE_THEN_DELETE_LATER,ARCHIVE_LATER,Versioned historical generated output is likely useful for debugging.,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,MEDIUM
